SNP_id,name,chrom,cm,pos
SNP_01,BTA-19852-no-rs,2,67.0546,42986890
SNP_02,ARS-USMARC-Parent-DQ647190-rs29013632,6,31.1567,13897068
SNP_03,ARS-BFGL-NGS-117009,6,68.2892,44649549
SNP_04,ARS-BFGL-NGS-60567,6,77.8749,53826064
SNP_05,BovineHD0600017032,6,80.5015,61779512
SNP_06,BovineHD0600017424,6,80.5954,63048481
SNP_07,Hapmap49442-BTA-111073,6,80.78,64037334
SNP_08,BovineHD0600018638,6,82.6856,67510588
SNP_09,ARS-BFGL-NGS-37727,6,86.874,73092782
SNP_10,BTB-01558306,7,62.0692,40827112
SNP_11,ARS-BFGL-NGS-44247,8,97.1731,92485682
SNP_12,Hapmap32827-BTA-146530,9,62.7463,55007839
SNP_13,BTB-00395482,9,63.4181,59692848
SNP_14,Hapmap40256-BTA-84189,9,66.8197,72822507
SNP_15,BovineHD1000000224,10,1.78774,814291
